Nd			Dg			Cq			Cc			H1			Sn
1681			15			5			0.15			79			5
168			3			4			1.0			79			3
1744			3			4			1.0			79			3
439			1			2			1			79			1
169			3			2			0			79			1
996			15			5			0.16			79			5
3310			1			2			1			79			1
171			1			2			1			79			1
838			4			5			1.0			79			4
172			5			5			0.7			79			4
2069			4			3			0.33			79			4
2646			5			5			0.7			79			4
2891			14			5			0.11			79			4
3143			5			5			0.7			79			4
173			6			4			0.53			79			4
2131			16			6			0.27			79			5
2179			3			4			1.0			79			3
2831			3			4			1.0			79			3
2994			15			4			0.13			79			5
3711			5			4			0.5			79			4
490			3			4			1.0			79			3
174			3			4			1.0			79			3
1612			5			4			0.6			79			3
3777			10			4			0.27			79			4
704			9			4			0.14			79			4
175			3			4			1.0			79			3
733			7			4			0.48			79			3
1441			4			3			0.33			79			2
176			2			3			1.0			79			2
2791			2			3			1.0			79			2
177			2			2			0			79			2
1329			9			5			0.17			79			4
1848			4			3			0.17			79			2
178			1			2			1			79			1
1671			3			4			1.0			79			3
179			3			4			1.0			79			3
1817			19			6			0.16			79			5
1989			4			4			0.5			79			3
187			3			4			1.0			79			3
180			9			6			0.36			79			5
1021			5			6			1.0			79			5
1141			10			6			0.4			79			5
1240			5			6			1.0			79			5
1242			10			5			0.2			79			5
2262			5			6			1.0			79			5
2263			10			6			0.44			79			5
2508			3			4			1.0			79			3
3243			5			6			1.0			79			5
198			4			5			1.0			79			4
2255			14			5			0.14			79			4
2840			4			5			1.0			79			4
3314			18			5			0.07			79			5
182			1			2			1			79			1
224			9			6			0.31			79			5
678			2			2			0			79			1
2492			2			3			1.0			79			2
2685			1			2			1			79			1
2894			4			3			0.33			79			2
3282			1			2			1			79			1
184			3			4			1.0			79			3
3854			6			4			0.4			79			3
381			13			14			1.0			79			13
185			13			14			1.0			79			13
606			19			14			0.54			79			13
1019			13			14			1.0			79			13
2351			13			14			1.0			79			13
2712			18			14			0.59			79			13
2962			13			14			1.0			79			13
3511			13			14			1.0			79			13
3661			15			14			0.81			79			13
3783			13			14			1.0			79			13
3876			13			14			1.0			79			13
3923			13			14			1.0			79			13
4122			15			14			0.81			79			13
2732			13			4			0.08			79			3
186			1			2			1			79			1
541			6			3			0.2			79			3
1767			17			5			0.18			79			4
3068			1			2			1			79			1
3507			8			4			0.36			79			4
4068			5			4			0.4			79			4
434			2			3			1.0			79			2
189			2			3			1.0			79			2
3378			3			3			0.33			79			2
1251			13			8			0.36			79			7
1747			10			8			0.69			79			7
2025			1			2			1			79			1
2572			7			8			1.0			79			7
2603			7			8			1.0			79			7
2986			5			3			0.2			79			3
248			3			4			1.0			79			3
341			13			7			0.35			79			6
628			3			3			0.67			79			2
902			5			5			0.6			79			4
984			6			7			1.0			79			6
1292			5			4			0.5			79			3
1941			15			7			0.2			79			6
1987			5			5			0.6			79			4
2070			16			7			0.25			79			6
2204			15			4			0.2			79			5
2224			10			5			0.27			79			5
2415			4			3			0.33			79			3
2641			6			5			0.6			79			4
3158			5			3			0.1			79			2
3264			2			3			1.0			79			2
3447			3			4			1.0			79			3
3461			3			4			1.0			79			3
3542			10			7			0.42			79			6
3706			8			7			0.64			79			6
192			7			4			0.24			79			4
1737			8			4			0.29			79			5
1907			1			2			1			79			1
2003			15			4			0.06			79			4
3331			15			4			0.12			79			5
4141			8			4			0.32			79			4
193			7			6			0.62			79			6
3327			8			4			0.18			79			5
3408			18			6			0.16			79			6
3960			9			6			0.58			79			6
2505			3			3			0.33			79			2
878			13			4			0.12			79			4
1869			5			3			0.4			79			3
196			4			3			0.5			79			3
1952			7			3			0.24			79			3
1968			9			5			0.28			79			4
1999			2			3			1.0			79			2
284			9			10			1.0			79			9
197			10			10			0.82			79			9
549			9			10			1.0			79			9
1580			2			3			1.0			79			2
2288			9			10			1.0			79			9
2517			26			10			0.22			79			9
2605			9			10			1.0			79			9
2787			9			10			1.0			79			9
3814			9			10			1.0			79			9
4106			12			10			0.64			79			9
1008			13			5			0.15			79			4
2287			3			3			0.67			79			3
2579			3			4			1.0			79			3
3387			11			3			0.11			79			3
3639			6			4			0.27			79			4
271			3			3			0.33			79			2
200			2			3			1.0			79			2
2216			2			3			1.0			79			2
201			3			4			1.0			79			3
3223			10			5			0.38			79			5
425			34			35			1.0			79			34
202			34			35			1.0			79			34
427			34			35			1.0			79			34
519			34			35			1.0			79			34
596			34			35			1.0			79			34
599			34			35			1.0			79			34
601			34			35			1.0			79			34
797			36			35			0.89			79			34
833			34			35			1.0			79			34
1010			34			35			1.0			79			34
1042			34			35			1.0			79			34
1052			34			35			1.0			79			34
1114			34			35			1.0			79			34
1210			34			35			1.0			79			34
1231			37			35			0.85			79			34
1349			34			35			1.0			79			34
1507			34			35			1.0			79			34
2000			34			35			1.0			79			34
2082			34			35			1.0			79			34
2092			34			35			1.0			79			34
2169			37			35			0.85			79			34
2193			34			35			1.0			79			34
2292			34			35			1.0			79			34
2750			34			35			1.0			79			34
2781			34			35			1.0			79			34
2783			34			35			1.0			79			34
2784			34			35			1.0			79			34
2822			34			35			1.0			79			34
2904			34			35			1.0			79			34
3558			34			35			1.0			79			34
3660			34			35			1.0			79			34
3895			34			35			1.0			79			34
3898			34			35			1.0			79			34
3916			34			35			1.0			79			34
4130			34			35			1.0			79			34
466			3			3			0.33			79			3
203			11			4			0.25			79			4
1265			9			4			0.25			79			4
1454			24			4			0.09			79			4
1561			3			4			1.0			79			3
2229			5			3			0.3			79			3
3698			6			4			0.47			79			4
3896			3			4			1.0			79			3
204			3			4			1.0			79			3
639			3			4			1.0			79			3
3358			16			4			0.1			79			4
808			28			4			0.06			79			4
205			4			3			0.33			79			3
3359			11			3			0.13			79			3
1073			6			4			0.27			79			3
206			2			3			1.0			79			2
2461			2			3			1.0			79			2
207			2			3			1.0			79			2
3420			7			3			0.1			79			3
208			1			2			1			79			1
501			6			3			0.27			79			4
209			5			5			0.7			79			4
2373			7			5			0.57			79			5
2518			4			5			1.0			79			4
3261			26			5			0.13			79			6
210			4			4			0.5			79			4
1187			8			5			0.46			79			4
2188			4			4			0.83			79			4
3251			25			5			0.13			79			5
211			2			3			1.0			79			2
2352			2			3			1.0			79			2
3181			15			8			0.27			79			7
212			1			2			1			79			1
213			1			2			1			79			1
1102			2			3			1.0			79			2
2494			13			4			0.1			79			4
2565			2			3			1.0			79			2
216			5			4			0.4			79			4
1273			4			4			0.83			79			4
2032			10			4			0.18			79			5
3920			20			6			0.12			79			5
486			1			2			1			79			1
217			2			2			0			79			1
1525			34			5			0.07			79			5
436			3			3			0.33			79			2
218			3			3			0.33			79			2
375			9			4			0.17			79			4
219			7			3			0.24			79			4
446			2			3			1.0			79			2
1500			2			3			1.0			79			2
2761			10			3			0.07			79			4
3215			10			4			0.18			79			5
221			2			3			1.0			79			2
3155			26			5			0.06			79			5
2626			8			4			0.21			79			4
1465			21			5			0.16			79			5
223			3			4			1.0			79			3
2958			11			5			0.33			79			4
774			4			3			0.17			79			3
1105			1			2			1			79			1
1165			5			6			1.0			79			5
2368			18			6			0.24			79			5
3103			2			3			1.0			79			2
3530			21			6			0.14			79			5
3809			10			6			0.29			79			5
4006			13			6			0.15			79			5
700			4			3			0.33			79			2
225			2			2			0			79			1
1728			1			2			1			79			1
226			2			3			1.0			79			2
2887			12			4			0.15			79			5
227			3			3			0.67			79			2
3198			2			3			1.0			79			2
228			31			8			0.08			79			7
495			4			4			0.67			79			4
688			8			8			0.86			79			7
807			10			3			0.02			79			4
925			4			5			1.0			79			4
951			7			8			1.0			79			7
1078			10			8			0.53			79			7
1191			2			3			1.0			79			2
1467			2			2			0			79			2
1814			8			3			0.14			79			4
1904			5			3			0.2			79			4
2019			10			5			0.2			79			5
2129			45			5			0.06			79			5
2497			7			8			1.0			79			7
2719			1			2			1			79			1
2774			1			2			1			79			1
2960			7			8			1.0			79			7
3161			4			4			0.5			79			3
3196			7			3			0.24			79			4
3212			12			4			0.14			79			5
3242			4			3			0.33			79			3
3443			7			5			0.52			79			5
3610			2			2			0			79			2
3798			5			3			0.3			79			4
3971			10			8			0.56			79			7
4029			7			8			1.0			79			7
387			5			6			1.0			79			5
1440			5			6			1.0			79			5
2167			5			6			1.0			79			5
1085			8			5			0.32			79			4
230			2			2			0			79			1
2609			1			2			1			79			1
481			3			4			1.0			79			3
231			3			4			1.0			79			3
1664			6			4			0.27			79			3
232			2			3			1.0			79			2
3238			2			3			1.0			79			2
233			3			4			1.0			79			3
234			3			3			0.33			79			2
2880			1			2			1			79			1
3466			12			6			0.26			79			5
235			3			4			1.0			79			3
3872			7			6			0.62			79			5
4026			6			4			0.4			79			3
237			14			4			0.14			79			5
1367			4			4			0.67			79			4
1705			2			3			1.0			79			2
1761			19			4			0.06			79			5
1902			15			5			0.14			79			4
2378			3			4			1.0			79			3
2379			6			5			0.6			79			5
2558			1			2			1			79			1
3515			10			3			0.09			79			4
3905			8			4			0.29			79			4
4121			5			3			0.4			79			4
4139			6			4			0.4			79			4
963			6			4			0.27			79			4
238			3			4			1.0			79			3
3344			3			4			1.0			79			3
239			1			2			1			79			1
940			17			4			0.15			79			5
241			19			4			0.15			79			5
971			27			5			0.11			79			5
1281			5			4			0.5			79			4
1430			4			4			0.5			79			4
1443			7			4			0.33			79			4
1670			5			4			0.5			79			4
2500			5			4			0.6			79			4
2814			6			4			0.4			79			4
2918			14			5			0.16			79			5
3528			6			4			0.4			79			4
3671			4			4			0.83			79			4
3804			12			4			0.18			79			5
3833			15			5			0.2			79			5
3911			3			4			1.0			79			3
3956			22			5			0.13			79			5
1107			7			5			0.33			79			4
1693			14			5			0.2			79			5
2343			3			3			0.67			79			3
3904			23			4			0.06			79			5
243			1			2			1			79			1
1730			6			4			0.2			79			3
244			1			2			1			79			1
2154			5			3			0.1			79			2
245			2			3			1.0			79			2
3446			2			3			1.0			79			2
3079			4			3			0.33			79			3
3773			4			4			0.67			79			4
247			2			2			0			79			2
3305			4			2			0			79			2
2077			7			5			0.29			79			4
249			4			5			1.0			79			4
2147			4			5			1.0			79			4
2319			4			5			1.0			79			4
250			7			4			0.29			79			4
574			12			4			0.18			79			4
1232			32			4			0.05			79			5
2337			3			4			1.0			79			3
3637			2			3			1.0			79			2
3845			23			5			0.11			79			5
932			7			5			0.57			79			4
1804			2			3			1.0			79			2
2796			3			4			1.0			79			3
3208			7			4			0.33			79			6
3681			3			4			1.0			79			3
3841			9			5			0.42			79			5
3951			2			3			1.0			79			2
4073			3			3			0.33			79			3
867			20			4			0.08			79			4
252			6			4			0.4			79			4
3129			4			4			0.67			79			4
3549			6			4			0.27			79			4
3831			3			4			1.0			79			3
422			2			3			1.0			79			2
253			2			3			1.0			79			2
2350			5			3			0.3			79			2
734			2			3			1.0			79			2
255			2			3			1.0			79			2
798			2			3			1.0			79			2
1287			4			4			0.83			79			3
256			4			4			0.83			79			3
1780			6			4			0.4			79			3
2584			3			4			1.0			79			3
2949			9			4			0.25			79			3
528			5			4			0.4			79			3
257			6			4			0.47			79			4
2738			13			5			0.27			79			5
3188			3			4			1.0			79			3
258			1			2			1			79			1
1226			6			3			0.2			79			3
2788			5			4			0.5			79			3
3253			5			4			0.4			79			3
4125			3			3			0.33			79			2
360			6			5			0.73			79			4
262			4			5			1.0			79			4
2843			13			5			0.27			79			4
2969			7			5			0.57			79			4
4099			4			5			1.0			79			4
504			1			2			1			79			1
263			8			3			0.14			79			3
624			10			6			0.33			79			5
1086			1			2			1			79			1
1098			5			4			0.4			79			3
1675			23			5			0.11			79			5
2121			2			3			1.0			79			2
3193			8			6			0.46			79			5
3330			2			3			1.0			79			2
264			7			2			0			79			4
1699			1			2			1			79			1
3337			1			2			1			79			1
3651			2			2			0			79			1
934			4			5			1.0			79			4
265			4			5			1.0			79			4
1275			15			9			0.32			79			8
2911			4			5			1.0			79			4
3607			4			5			1.0			79			4
300			4			5			1.0			79			4
266			6			5			0.53			79			4
1219			3			4			1.0			79			3
1655			4			3			0.17			79			3
2203			5			5			0.8			79			4
3087			5			5			0.8			79			4
267			3			3			0.33			79			2
1803			2			3			1.0			79			2
3318			2			3			1.0			79			2
1288			3			3			0.33			79			2
268			8			3			0.07			79			2
2283			4			3			0.33			79			2
2364			2			3			1.0			79			2
2705			1			2			1			79			1
3138			1			2			1			79			1
3241			2			3			1.0			79			2
492			6			5			0.47			79			4
270			2			3			1.0			79			2
1677			7			4			0.19			79			4
1403			6			4			0.33			79			3
272			2			3			1.0			79			2
2159			5			4			0.5			79			3
273			2			3			1.0			79			2
876			2			3			1.0			79			2
2536			1			2			1			79			1
3477			6			3			0.2			79			3
1047			5			2			0			79			1
276			1			2			1			79			1
277			1			2			1			79			1
3030			7			3			0.14			79			2
278			2			3			1.0			79			2
4156			5			4			0.4			79			3
3582			3			4			1.0			79			3
1499			23			21			0.76			79			20
280			3			4			1.0			79			3
2199			3			4			1.0			79			3
1300			7			3			0.1			79			2
281			2			3			1.0			79			2
1886			2			3			1.0			79			2
283			2			3			1.0			79			2
1986			10			4			0.18			79			4
773			5			6			1.0			79			5
285			5			6			1.0			79			5
1101			5			6			1.0			79			5
1942			5			6			1.0			79			5
2452			7			6			0.48			79			5
430			1			2			1			79			1
1615			13			3			0.05			79			5
3189			2			3			1.0			79			2
4095			2			3			1.0			79			2
316			6			5			0.53			79			4
288			2			3			1.0			79			2
1045			13			5			0.17			79			4
635			2			3			1.0			79			2
289			2			3			1.0			79			2
717			19			5			0.14			79			5
291			2			3			1.0			79			2
3474			8			3			0.21			79			5
292			1			2			1			79			1
293			1			2			1			79			1
318			17			5			0.11			79			4
294			10			5			0.31			79			4
2418			9			5			0.22			79			4
3137			3			4			1.0			79			3
3190			6			5			0.47			79			4
3697			3			4			1.0			79			3
3704			3			4			1.0			79			3
295			1			2			1			79			1
296			1			2			1			79			1
1250			4			3			0.17			79			2
297			8			3			0.07			79			2
1431			1			2			1			79			1
1736			5			3			0.2			79			3
2222			1			2			1			79			1
3690			1			2			1			79			1
3995			2			3			1.0			79			2
298			2			3			1.0			79			2
1488			2			3			1.0			79			2
299			2			3			1.0			79			2
428			5			5			0.6			79			4
301			1			2			1			79			1
302			7			5			0.48			79			5
1186			19			5			0.09			79			5
1594			17			5			0.13			79			5
3596			2			3			1.0			79			2
3646			2			3			1.0			79			2
3970			7			5			0.48			79			5
1471			3			4			1.0			79			3
1797			8			5			0.43			79			5
3593			3			4			1.0			79			3
1543			2			3			1.0			79			2
304			2			3			1.0			79			2
2371			6			4			0.27			79			3
1501			2			2			0			79			2
305			2			2			0			79			2
3363			12			4			0.12			79			4
306			2			3			1.0			79			2
1264			10			5			0.27			79			5
307			3			4			1.0			79			3
1277			3			4			1.0			79			3
2402			3			4			1.0			79			3
308			1			2			1			79			1
309			3			4			1.0			79			3
1663			6			4			0.2			79			3
310			2			2			0			79			1
3051			1			2			1			79			1
311			1			2			1			79			1
1266			4			4			0.83			79			3
314			3			4			1.0			79			3
3699			12			5			0.27			79			5
2821			3			3			0.67			79			2
315			2			3			1.0			79			2
820			2			3			1.0			79			2
1343			5			5			0.7			79			4
2372			6			5			0.47			79			4
1282			3			4			1.0			79			3
317			3			4			1.0			79			3
2455			7			4			0.24			79			3
3293			3			4			1.0			79			3
577			1			2			1			79			1
607			1			2			1			79			1
1091			2			3			1.0			79			2
2237			1			2			1			79			1
2459			1			2			1			79			1
2625			1			2			1			79			1
3304			2			2			0			79			1
319			4			5			1.0			79			4
736			4			5			1.0			79			4
2629			6			5			0.6			79			4
2825			6			5			0.6			79			4
568			4			5			1.0			79			4
320			4			5			1.0			79			4
2344			4			5			1.0			79			4
1569			2			3			1.0			79			2
321			2			3			1.0			79			2
322			2			3			1.0			79			2
323			1			2			1			79			1
713			3			3			0.67			79			2
1058			3			4			1.0			79			3
1122			2			3			1.0			79			2
1152			3			4			1.0			79			3
1306			4			3			0.33			79			2
1313			3			4			1.0			79			3
1757			3			3			0.33			79			3
2208			1			2			1			79			1
2328			6			4			0.4			79			3
2437			5			4			0.4			79			3
3550			3			3			0.67			79			3
326			2			3			1.0			79			2
2158			9			4			0.22			79			3
676			3			4			1.0			79			3
327			3			4			1.0			79			3
1633			3			4			1.0			79			3
328			2			3			1.0			79			2
658			1			2			1			79			1
329			2			2			0			79			1
1204			11			4			0.15			79			4
330			1			2			1			79			1
476			5			6			1.0			79			5
332			6			6			0.87			79			5
712			4			5			1.0			79			4
2075			16			6			0.23			79			7
780			3			4			1.0			79			3
866			11			4			0.2			79			5
903			3			4			1.0			79			3
1473			13			4			0.1			79			4
1715			12			4			0.14			79			4
1887			3			3			0.33			79			2
1893			5			3			0.1			79			4
1981			2			3			1.0			79			2
2123			4			3			0.33			79			3
2903			4			3			0.17			79			2
2946			2			3			1.0			79			2
2947			3			3			0.33			79			2
4145			2			3			1.0			79			2
3979			2			2			0			79			1
334			1			2			1			79			1
1819			12			4			0.15			79			4
335			1			2			1			79			1
3842			5			4			0.4			79			5
2052			4			5			1.0			79			4
337			5			5			0.6			79			4
2591			1			2			1			79			1
3338			8			5			0.29			79			4
3811			4			5			1.0			79			4
3914			4			5			1.0			79			4
338			1			2			1			79			1
445			23			24			1.0			79			23
339			23			24			1.0			79			23
487			23			24			1.0			79			23
571			23			24			1.0			79			23
573			23			24			1.0			79			23
591			23			24			1.0			79			23
597			23			24			1.0			79			23
1032			23			24			1.0			79			23
1064			25			24			0.85			79			23
1161			23			24			1.0			79			23
1475			23			24			1.0			79			23
1874			23			24			1.0			79			23
1936			23			24			1.0			79			23
2014			23			24			1.0			79			23
2252			23			24			1.0			79			23
2302			23			24			1.0			79			23
2306			23			24			1.0			79			23
2447			23			24			1.0			79			23
2996			23			24			1.0			79			23
3135			23			24			1.0			79			23
3232			23			24			1.0			79			23
3353			23			24			1.0			79			23
3484			23			24			1.0			79			23
3972			23			24			1.0			79			23
1521			6			5			0.53			79			5
2594			9			5			0.42			79			5
2669			5			5			0.6			79			5
3210			4			3			0.33			79			3
2501			3			4			1.0			79			3
3922			7			4			0.38			79			3
705			6			5			0.47			79			4
342			5			4			0.4			79			4
973			3			4			1.0			79			3
1330			5			4			0.4			79			4
559			2			3			1.0			79			2
343			5			3			0.4			79			4
1216			5			3			0.3			79			4
1628			7			3			0.24			79			4
2246			25			4			0.08			79			5
2446			6			4			0.27			79			3
344			3			4			1.0			79			3
3862			7			4			0.38			79			3
4123			7			4			0.38			79			3
1000			6			5			0.6			79			4
346			4			5			1.0			79			4
1373			6			5			0.6			79			4
2266			4			5			1.0			79			4
2987			5			5			0.6			79			4
1363			2			3			1.0			79			2
348			4			3			0.5			79			3
3194			7			4			0.24			79			3
349			4			5			1.0			79			4
2678			4			5			1.0			79			4
3873			4			5			1.0			79			4
3219			7			3			0.14			79			3
350			1			2			1			79			1
1593			6			6			0.93			79			5
2148			5			6			1.0			79			5
666			5			3			0.3			79			3
352			4			3			0.33			79			2
3657			2			3			1.0			79			2
3964			2			2			0			79			2
975			14			9			0.6			79			8
354			8			9			1.0			79			8
990			8			9			1.0			79			8
1066			8			9			1.0			79			8
1385			8			9			1.0			79			8
1889			15			9			0.53			79			8
3173			8			9			1.0			79			8
3487			8			9			1.0			79			8
3935			21			9			0.27			79			8
1185			4			4			0.5			79			3
356			5			4			0.3			79			3
1434			28			6			0.14			79			5
2592			1			2			1			79			1
2638			19			5			0.15			79			5
3867			2			2			0			79			2
1608			13			5			0.18			79			5
1651			3			4			1.0			79			3
1842			17			5			0.13			79			4
2925			2			3			1.0			79			2
2939			1			2			1			79			1
3225			3			4			1.0			79			3
3294			10			4			0.2			79			5
3716			5			4			0.3			79			3
4004			16			6			0.17			79			6
4027			3			4			1.0			79			3
483			2			2			0			79			2
358			3			3			0.33			79			2
2686			9			4			0.31			79			5
3148			3			2			0			79			1
359			1			2			1			79			1
1366			8			5			0.43			79			4
3912			4			5			1.0			79			4
1348			4			3			0.33			79			2
361			4			3			0.33			79			2
1650			2			3			1.0			79			2
3880			3			3			0.33			79			2
362			2			3			1.0			79			2
1056			3			4			1.0			79			3
363			3			4			1.0			79			3
1550			4			4			0.5			79			3
2753			16			5			0.13			79			4
1860			1			2			1			79			1
364			3			3			0.33			79			2
1861			3			3			0.33			79			2
2615			3			3			0.33			79			2
365			7			5			0.57			79			5
1014			3			4			1.0			79			3
1607			10			5			0.38			79			5
2409			9			4			0.19			79			3
3011			12			5			0.35			79			5
4138			8			5			0.32			79			5
366			2			3			1.0			79			2
2471			2			3			1.0			79			2
383			13			7			0.38			79			6
368			3			4			1.0			79			3
1289			20			7			0.21			79			6
2612			4			4			0.5			79			3
472			10			4			0.22			79			4
369			2			3			1.0			79			2
942			14			4			0.13			79			5
1706			6			4			0.47			79			3
370			3			4			1.0			79			3
2451			4			4			0.67			79			3
3177			5			4			0.6			79			3
371			1			2			1			79			1
1711			6			4			0.27			79			3
372			2			3			1.0			79			2
4023			2			3			1.0			79			2
3590			3			3			0.33			79			2
373			1			2			1			79			1
742			8			4			0.18			79			4
374			1			2			1			79			1
636			7			4			0.29			79			4
994			4			4			0.5			79			4
2055			2			3			1.0			79			2
2913			9			4			0.28			79			4
376			3			4			1.0			79			3
3322			3			4			1.0			79			3
3600			9			4			0.14			79			3
379			5			3			0.2			79			3
377			2			3			1.0			79			2
378			3			4			1.0			79			3
2622			3			4			1.0			79			3
2080			6			3			0.27			79			3
2740			1			2			1			79			1
382			5			4			0.3			79			3
3066			3			2			0			79			1
4115			1			2			1			79			1
1126			4			5			1.0			79			4
1303			4			5			1.0			79			4
1379			7			7			0.76			79			6
2068			9			7			0.44			79			6
2189			10			7			0.56			79			6
2744			6			7			1.0			79			6
2764			8			5			0.39			79			5
841			6			4			0.33			79			3
3535			4			3			0.33			79			3
3231			2			2			0			79			1
386			1			2			1			79			1
3527			11			4			0.15			79			4
389			1			2			1			79			1
390			4			4			0.5			79			4
391			3			3			0.33			79			2
2890			1			2			1			79			1
1892			6			4			0.27			79			3
392			3			4			1.0			79			3
3497			3			4			1.0			79			3
3933			5			4			0.4			79			3
393			2			3			1.0			79			2
485			5			4			0.4			79			3
394			1			2			1			79			1
508			7			4			0.29			79			3
915			10			5			0.31			79			5
396			10			5			0.2			79			5
1093			7			3			0.14			79			3
1369			5			4			0.5			79			4
3120			4			3			0.33			79			3
3630			11			5			0.25			79			5
3849			7			3			0.19			79			5
1530			2			3			1.0			79			2
397			3			3			0.33			79			2
1700			2			3			1.0			79			2
1939			11			6			0.25			79			5
2930			5			3			0.2			79			2
398			2			3			1.0			79			2
3111			2			3			1.0			79			2
400			5			3			0.3			79			3
2157			6			3			0.07			79			3
2877			9			4			0.22			79			3
403			3			4			1.0			79			3
3506			4			4			0.5			79			3
1046			7			5			0.62			79			4
404			6			5			0.6			79			4
1252			6			5			0.67			79			4
2272			6			5			0.67			79			4
3490			5			4			0.4			79			3
405			2			3			1.0			79			2
2340			5			5			0.6			79			4
407			1			2			1			79			1
459			11			5			0.31			79			5
409			4			5			1.0			79			4
2456			4			5			1.0			79			4
3598			13			5			0.19			79			5
3931			13			5			0.21			79			5
410			11			4			0.09			79			4
1698			8			4			0.25			79			4
2095			20			4			0.07			79			5
2513			1			2			1			79			1
2736			4			4			0.67			79			3
2772			5			4			0.4			79			4
2812			5			4			0.3			79			4
411			2			3			1.0			79			2
912			3			4			1.0			79			3
412			3			4			1.0			79			3
3468			7			4			0.24			79			3
3847			10			4			0.11			79			3
672			13			10			0.59			79			9
413			9			10			1.0			79			9
1708			9			10			1.0			79			9
1950			9			10			1.0			79			9
2040			13			10			0.54			79			9
2551			19			13			0.63			79			12
2948			9			10			1.0			79			9
415			1			2			1			79			1
991			1			2			1			79			1
416			3			3			0.33			79			2
2590			2			3			1.0			79			2
418			6			3			0.07			79			5
1422			11			3			0.09			79			5
2586			4			2			0			79			2
2914			9			5			0.42			79			5
419			2			3			1.0			79			2
1076			5			4			0.3			79			3
420			3			4			1.0			79			3
3748			3			4			1.0			79			3
4065			3			4			1.0			79			3
544			2			3			1.0			79			2
421			11			5			0.4			79			4
750			6			5			0.47			79			4
832			4			5			1.0			79			4
869			4			5			1.0			79			4
1510			10			5			0.47			79			4
1899			4			5			1.0			79			4
1985			7			5			0.43			79			4
3187			4			5			1.0			79			4
3220			4			5			1.0			79			4
3463			6			5			0.47			79			4
3878			20			5			0.16			79			4
423			2			3			1.0			79			2
1683			12			4			0.09			79			4
424			8			6			0.5			79			5
1040			7			6			0.52			79			5
1192			18			5			0.16			79			5
1590			5			5			0.8			79			5
2757			7			6			0.52			79			5
3290			6			6			0.87			79			5
3882			22			5			0.14			79			5
426			1			2			1			79			1
1214			7			5			0.33			79			4
2200			11			5			0.24			79			4
2835			8			5			0.29			79			4
516			3			2			0			79			2
619			9			4			0.28			79			4
1915			3			4			1.0			79			3
2458			12			4			0.08			79			4
2503			17			4			0.09			79			5
3470			5			3			0.3			79			4
3491			8			8			0.75			79			7
1283			5			6			1.0			79			5
431			7			6			0.71			79			5
1745			7			6			0.67			79			5
2021			8			6			0.46			79			5
2269			7			6			0.81			79			5
3599			2			3			1.0			79			2
3940			8			6			0.64			79			5
432			1			2			1			79			1
771			3			4			1.0			79			3
840			10			4			0.22			79			4
910			6			4			0.4			79			4
955			9			4			0.17			79			4
1353			2			3			1.0			79			2
1665			2			3			1.0			79			2
1770			2			3			1.0			79			2
2026			4			4			0.5			79			3
2048			5			4			0.4			79			3
2113			8			4			0.21			79			3
2152			4			4			0.5			79			3
2153			3			3			0.33			79			3
2330			2			3			1.0			79			2
3339			5			4			0.4			79			3
3778			12			5			0.23			79			5
4108			10			4			0.2			79			4
4128			3			4			1.0			79			3
4133			2			2			0			79			1
4140			2			3			1.0			79			2
2047			5			4			0.4			79			3
435			3			4			1.0			79			3
3105			4			4			0.67			79			3
1125			1			2			1			79			1
754			12			13			1.0			79			12
2210			14			13			0.74			79			12
3316			15			13			0.75			79			12
438			1			2			1			79			1
2165			13			4			0.1			79			4
440			4			3			0.33			79			4
3065			11			4			0.16			79			4
441			4			3			0.33			79			4
3076			8			3			0.25			79			5
1094			2			3			1.0			79			2
442			4			3			0.5			79			3
1506			5			3			0.2			79			3
1967			8			5			0.32			79			5
2155			6			3			0.27			79			3
933			8			5			0.36			79			4
443			4			5			1.0			79			4
2102			6			5			0.6			79			4
2927			6			5			0.6			79			4
3575			6			5			0.47			79			4
1024			10			6			0.29			79			5
444			5			6			1.0			79			5
1054			5			6			1.0			79			5
1059			5			6			1.0			79			5
1360			8			6			0.43			79			5
3191			7			6			0.48			79			5
1180			1			2			1			79			1
447			5			4			0.3			79			3
4057			3			4			1.0			79			3
1137			1			2			1			79			1
448			8			3			0.04			79			3
1389			1			2			1			79			1
2441			5			3			0.1			79			3
2644			12			4			0.12			79			3
2852			1			2			1			79			1
1211			8			6			0.5			79			5
449			1			2			1			79			1
2166			4			4			0.67			79			3
450			2			3			1.0			79			2
1470			2			3			1.0			79			2
451			2			3			1.0			79			2
3945			7			4			0.33			79			3
511			6			6			0.8			79			5
452			3			4			1.0			79			3
1793			15			6			0.19			79			5
4112			6			6			0.8			79			5
453			4			5			1.0			79			4
1457			4			5			1.0			79			4
454			5			4			0.4			79			3
1412			4			4			0.67			79			3
1903			6			4			0.47			79			3
3701			3			4			1.0			79			3
634			2			3			1.0			79			2
927			2			3			1.0			79			2
1254			1			2			1			79			1
1426			1			2			1			79			1
1710			11			5			0.31			79			5
2895			1			2			1			79			1
456			2			3			1.0			79			2
1774			7			4			0.24			79			4
457			2			3			1.0			79			2
802			6			3			0.07			79			2
458			2			3			1.0			79			2
4078			2			3			1.0			79			2
1133			12			5			0.21			79			5
1468			5			5			0.9			79			5
1544			4			4			0.5			79			4
3254			7			5			0.33			79			5
4097			1			2			1			79			1
460			3			3			0.67			79			2
3369			2			3			1.0			79			2
1548			3			3			0.33			79			2
461			1			2			1			79			1
