Nd			Dg			Cq			Cc			H1			Sn
80157			5			4			0.5			841			4
86455			6			5			0.8			841			6
90403			5			3			0.1			841			3
91075			2			2			0			841			2
101667			4			5			1.0			841			4
102544			6			5			0.8			841			6
103905			9			3			0.19			841			9
119009			6			3			0.2			841			6
126899			4			5			1.0			841			4
132421			8			4			0.36			841			5
132737			4			5			1.0			841			4
136685			5			2			0			841			3
140104			2			2			0			841			2
2318			229			8			0.03			841			19
4630			24			4			0.08			841			14
5004			37			4			0.04			841			9
5359			38			6			0.14			841			14
6325			78			8			0.07			841			22
6789			11			5			0.29			841			9
7612			35			6			0.11			841			15
8326			17			5			0.15			841			10
8542			36			4			0.09			841			9
8825			12			4			0.2			841			10
11105			6			5			0.8			841			6
11545			13			3			0.01			841			10
11629			94			6			0.06			841			22
11859			75			6			0.07			841			19
14558			7			5			0.62			841			7
14603			27			5			0.09			841			19
17319			21			3			0.03			841			6
18025			14			5			0.18			841			9
20111			9			5			0.44			841			9
20287			8			5			0.54			841			8
21794			24			3			0.04			841			7
21959			83			6			0.03			841			19
22885			15			4			0.13			841			11
23542			24			4			0.05			841			11
25729			6			5			0.8			841			6
27344			8			5			0.54			841			8
27399			38			3			0.04			841			9
28117			11			5			0.24			841			9
28156			8			5			0.43			841			7
28664			14			5			0.18			841			10
29031			27			5			0.15			841			10
29600			15			3			0.1			841			10
31672			26			6			0.12			841			14
33362			10			5			0.36			841			9
36434			6			4			0.27			841			5
36450			11			3			0.13			841			7
37364			8			5			0.46			841			6
39046			34			4			0.1			841			9
39316			13			4			0.19			841			12
40384			13			4			0.12			841			10
41536			6			5			0.8			841			6
42340			6			5			0.8			841			6
44933			25			4			0.11			841			7
46217			10			5			0.27			841			9
47211			33			5			0.03			841			11
48475			8			5			0.54			841			8
49795			27			4			0.04			841			8
50023			11			5			0.29			841			9
51640			19			6			0.2			841			7
53591			6			5			0.8			841			6
59822			24			5			0.11			841			10
60211			14			5			0.16			841			7
62057			9			4			0.22			841			7
62860			6			5			0.8			841			6
64275			30			5			0.06			841			10
65249			11			4			0.15			841			6
65512			6			5			0.8			841			6
67154			9			5			0.44			841			9
68580			12			4			0.14			841			9
70842			6			5			0.8			841			6
72899			6			5			0.8			841			6
74842			8			5			0.32			841			4
77181			6			5			0.8			841			6
77281			7			5			0.57			841			6
87645			10			4			0.18			841			4
89867			24			5			0.08			841			10
90193			9			3			0.17			841			4
91207			7			5			0.62			841			7
92135			7			5			0.57			841			6
92736			15			4			0.1			841			9
94646			6			5			0.8			841			6
96717			9			5			0.36			841			8
97404			6			5			0.8			841			6
103962			6			3			0.2			841			5
108784			5			5			0.8			841			5
109275			8			3			0.04			841			5
113382			6			2			0			841			4
114582			5			5			0.8			841			5
114826			10			5			0.29			841			8
117713			4			3			0.5			841			4
125039			7			4			0.38			841			7
129376			6			5			0.8			841			6
139691			4			3			0.33			841			3
139818			6			5			0.47			841			4
151974			6			5			0.8			841			6
152397			7			5			0.57			841			6
162370			2			2			0			841			2
176679			3			4			1.0			841			3
13799			6			2			0			841			4
70895			6			2			0			841			4
13113			26			3			0.01			841			9
13698			38			3			0.01			841			11
44463			19			2			0			841			9
166225			4			3			0.17			841			3
178740			1			2			1			841			1
23308			1			2			1			841			1
23320			1			2			1			841			1
23322			1			2			1			841			1
23334			1			2			1			841			1
23340			1			2			1			841			1
23341			1			2			1			841			1
23342			1			2			1			841			1
23352			1			2			1			841			1
23353			2			2			0			841			1
23361			1			2			1			841			1
23534			1			2			1			841			1
23535			1			2			1			841			1
23536			1			2			1			841			1
59419			13			4			0.06			841			7
417			21			3			0.13			841			9
418			15			3			0.13			841			9
20179			12			4			0.18			841			9
20183			13			5			0.22			841			9
20184			7			4			0.29			841			7
20186			10			4			0.2			841			9
29119			10			5			0.27			841			7
33275			12			4			0.18			841			9
33276			11			5			0.25			841			9
33279			8			4			0.25			841			8
33281			9			4			0.25			841			9
40670			12			3			0.03			841			5
43028			7			3			0.05			841			4
48378			28			5			0.11			841			14
53032			3			2			0			841			3
64695			25			4			0.07			841			14
65753			32			5			0.12			841			14
65756			30			5			0.12			841			14
87819			20			5			0.16			841			9
97109			22			3			0.13			841			9
104007			28			4			0.07			841			14
143629			22			5			0.22			841			10
419			2			2			0			841			1
420			2			2			0			841			1
138553			7			3			0.14			841			2
181364			1			2			1			841			1
93256			1			2			1			841			1
190173			1			2			1			841			1
423			15			4			0.1			841			3
424			2			3			1.0			841			2
31032			4			4			0.67			841			3
85887			11			4			0.16			841			3
86269			2			3			1.0			841			2
86406			10			3			0.09			841			3
134210			2			2			0			841			2
151159			3			4			1.0			841			3
159686			4			3			0.17			841			3
167428			2			3			1.0			841			2
167429			2			3			1.0			841			2
167430			2			3			1.0			841			2
167431			2			3			1.0			841			2
167433			2			3			1.0			841			2
179102			1			2			1			841			1
179103			2			2			0			841			1
425			10			4			0.24			841			5
426			5			4			0.5			841			5
1230			4			3			0.33			841			3
6391			10			4			0.2			841			5
8400			30			4			0.06			841			8
8401			4			4			0.83			841			4
38053			6			4			0.4			841			4
75298			5			4			0.8			841			5
78748			5			3			0.3			841			3
122621			5			3			0.1			841			2
1229			12			4			0.18			841			5
427			9			3			0.08			841			3
428			4			2			0			841			2
23088			30			3			0.04			841			5
52053			31			4			0.05			841			6
57696			16			3			0.03			841			3
70790			3			2			0			841			2
104297			6			3			0.2			841			3
107751			4			3			0.33			841			3
134310			5			3			0.3			841			3
174772			4			3			0.17			841			3
88758			43			3			0.02			841			2
110695			11			3			0.05			841			3
175602			2			2			0			841			2
429			38			4			0.03			841			10
430			2			2			0			841			2
2390			53			5			0.06			841			18
6450			12			4			0.17			841			10
7068			55			6			0.05			841			18
11914			4			4			0.83			841			4
12528			12			4			0.21			841			10
16313			42			4			0.03			841			10
23759			4			2			0			841			4
24883			10			4			0.18			841			6
30375			28			4			0.02			841			13
34228			4			3			0.17			841			3
52345			4			2			0			841			3
64931			2			2			0			841			2
66505			3			2			0			841			2
68732			19			3			0.01			841			14
70182			11			3			0.15			841			6
77925			4			3			0.33			841			4
81918			3			3			0.67			841			3
84595			2			2			0			841			2
90546			11			4			0.16			841			5
98984			2			2			0			841			2
106554			2			2			0			841			2
120919			4			3			0.17			841			3
121202			5			4			0.5			841			4
126761			2			2			0			841			2
126762			2			2			0			841			2
127945			3			2			0			841			2
127947			3			2			0			841			2
148113			4			4			0.83			841			4
148115			2			2			0			841			2
158041			4			2			0			841			4
165086			2			2			0			841			2
169223			2			2			0			841			2
181772			2			2			0			841			2
45827			39			4			0.04			841			10
431			2			2			0			841			2
432			20			2			0			841			12
24971			22			2			0			841			9
2020			4			2			0			841			4
2021			5			2			0			841			4
2065			3			2			0			841			3
2066			5			2			0			841			4
13921			2			2			0			841			2
13922			4			2			0			841			4
13936			4			2			0			841			4
20748			19			2			0			841			12
25017			19			2			0			841			12
43199			21			3			0.0			841			12
49427			19			2			0			841			12
53490			20			2			0			841			12
65651			19			2			0			841			12
84420			19			2			0			841			12
85467			20			2			0			841			12
92449			19			2			0			841			12
92810			19			2			0			841			12
94509			21			3			0.0			841			12
131887			19			2			0			841			12
433			5			4			0.3			841			5
108158			8			5			0.36			841			5
14417			9			4			0.47			841			6
21596			14			5			0.27			841			6
21597			8			5			0.46			841			6
21606			8			5			0.5			841			6
33400			7			4			0.48			841			5
33401			8			3			0.11			841			5
39242			9			6			0.53			841			6
40781			13			6			0.35			841			6
53887			6			2			0			841			4
58743			12			6			0.36			841			6
63525			4			3			0.33			841			4
74869			3			3			0.33			841			3
82005			13			5			0.21			841			6
94197			5			3			0.2			841			5
101623			2			2			0			841			2
109653			6			5			0.67			841			6
115562			2			2			0			841			2
117970			4			4			0.83			841			4
149084			3			2			0			841			3
435			9			4			0.33			841			6
436			5			3			0.2			841			4
37049			30			4			0.11			841			6
51418			19			4			0.22			841			6
57634			18			4			0.24			841			6
65633			3			2			0			841			3
77432			23			4			0.15			841			6
86878			30			4			0.1			841			6
89055			22			4			0.16			841			6
156199			2			2			0			841			2
35168			11			4			0.24			841			5
59930			4			3			0.17			841			4
62669			4			3			0.33			841			3
65632			9			4			0.33			841			6
437			19			4			0.11			841			7
438			9			4			0.33			841			7
4094			29			4			0.07			841			7
5663			13			4			0.38			841			7
13482			10			4			0.27			841			7
16959			24			4			0.18			841			7
16960			6			3			0.33			841			6
23000			9			4			0.33			841			7
27772			10			3			0.38			841			7
29008			6			3			0.33			841			6
31251			18			4			0.12			841			7
42609			16			4			0.07			841			7
50482			8			3			0.14			841			7
50504			8			3			0.43			841			7
51826			8			3			0.14			841			7
59340			7			3			0.19			841			7
65412			6			2			0			841			6
69536			6			2			0			841			6
78793			9			3			0.06			841			7
94146			16			3			0.12			841			7
22999			15			4			0.15			841			7
31252			21			4			0.1			841			7
37422			38			4			0.06			841			7
39720			10			3			0.07			841			7
46245			16			3			0.07			841			7
50480			19			3			0.09			841			7
439			12			4			0.12			841			6
440			8			3			0.11			841			5
3259			31			4			0.06			841			6
15444			15			4			0.26			841			6
19349			22			4			0.08			841			11
19978			9			3			0.08			841			4
23963			10			4			0.2			841			6
43992			8			2			0			841			6
49739			5			3			0.1			841			4
69857			42			5			0.03			841			9
93798			13			4			0.14			841			6
153318			7			3			0.24			841			5
181349			2			2			0			841			2
19355			28			5			0.12			841			11
28604			6			3			0.07			841			4
28607			9			4			0.19			841			6
37268			10			4			0.18			841			6
43527			18			3			0.06			841			6
70180			3			3			0.33			841			3
103908			4			3			0.33			841			4
191401			1			2			1			841			1
443			8			3			0.07			841			6
12989			38			6			0.12			841			18
22748			47			7			0.06			841			20
67913			4			2			0			841			3
116472			4			2			0			841			4
2475			114			7			0.04			841			19
2682			52			7			0.06			841			16
5242			18			4			0.07			841			8
5925			19			4			0.09			841			8
5926			51			6			0.08			841			13
5948			48			7			0.14			841			19
7030			79			7			0.07			841			24
8926			45			7			0.09			841			20
11958			24			4			0.09			841			10
16231			21			3			0.04			841			12
16303			21			3			0.05			841			9
21763			66			7			0.07			841			16
22141			15			4			0.16			841			7
23238			20			5			0.15			841			8
23239			12			3			0.06			841			8
23766			43			6			0.1			841			14
26221			15			3			0.1			841			8
32039			32			4			0.05			841			17
38482			35			4			0.05			841			13
47948			28			4			0.1			841			9
63288			13			5			0.21			841			8
64625			9			6			0.42			841			8
66889			2			2			0			841			1
69592			4			2			0			841			4
69657			12			4			0.17			841			8
83356			4			2			0			841			4
84204			29			5			0.07			841			11
95805			11			3			0.05			841			5
107142			5			2			0			841			4
107815			8			3			0.07			841			3
108718			4			3			0.33			841			4
108719			7			3			0.14			841			5
110154			15			6			0.16			841			8
120459			3			2			0			841			3
132285			2			2			0			841			2
66142			2			2			0			841			1
179048			1			2			1			841			1
446			15			3			0.08			841			3
447			1			2			1			841			1
774			2			3			1.0			841			2
802			1			2			1			841			1
803			3			3			0.67			841			3
47626			3			2			0			841			1
56392			8			3			0.18			841			3
56403			6			3			0.2			841			3
85929			2			2			0			841			2
91766			6			3			0.27			841			3
116419			5			3			0.3			841			3
150257			2			2			0			841			2
151508			4			3			0.17			841			2
177008			2			3			1.0			841			2
1531			18			3			0.09			841			16
3298			53			6			0.08			841			20
3433			49			5			0.05			841			16
3499			10			3			0.02			841			7
6768			53			8			0.07			841			18
10075			58			5			0.07			841			19
10410			141			7			0.05			841			22
25205			41			5			0.09			841			22
28917			11			3			0.05			841			8
30768			30			5			0.1			841			19
35285			21			4			0.09			841			9
40777			26			3			0.03			841			17
65154			14			5			0.23			841			12
70738			1			2			1			841			1
450			4			3			0.17			841			2
451			3			3			0.33			841			2
8993			6			3			0.13			841			3
12270			1			2			1			841			1
139850			5			3			0.1			841			3
189354			1			2			1			841			1
452			4			2			0			841			3
453			2			2			0			841			2
21829			12			3			0.11			841			7
60636			11			3			0.09			841			7
92539			11			3			0.09			841			7
105007			4			2			0			841			3
454			5			2			0			841			3
455			2			2			0			841			2
21566			6			2			0			841			3
25670			19			4			0.06			841			5
84293			23			4			0.05			841			5
150548			5			2			0			841			3
158531			3			2			0			841			2
456			21			3			0.04			841			7
457			9			3			0.19			841			7
2008			12			3			0.12			841			7
11760			49			5			0.05			841			20
13614			7			3			0.33			841			5
16523			13			3			0.12			841			7
16712			9			3			0.19			841			7
29476			12			3			0.3			841			7
38888			8			3			0.21			841			7
45532			5			2			0			841			3
52610			7			3			0.14			841			7
86841			5			3			0.1			841			3
89009			4			3			0.33			841			4
89010			4			3			0.33			841			4
89014			4			2			0			841			3
89015			3			2			0			841			3
89016			1			2			1			841			1
89020			4			3			0.17			841			4
96271			4			3			0.17			841			3
101913			5			3			0.3			841			4
120611			5			3			0.3			841			4
1925			36			3			0.04			841			7
2007			31			3			0.04			841			7
13717			20			3			0.04			841			7
40876			11			3			0.35			841			7
41836			21			3			0.03			841			7
42078			25			3			0.03			841			7
68717			10			3			0.07			841			7
458			44			6			0.09			841			11
459			13			6			0.29			841			10
1634			16			4			0.12			841			9
2301			29			6			0.09			841			12
5308			32			3			0.01			841			6
8182			77			8			0.07			841			16
9169			15			4			0.07			841			5
9459			4			4			0.5			841			3
12323			17			4			0.15			841			6
13399			52			8			0.1			841			16
14106			33			3			0.06			841			8
14185			9			6			0.44			841			8
14223			16			5			0.16			841			8
18536			19			5			0.08			841			8
19002			33			6			0.14			841			12
19746			34			5			0.09			841			8
22809			10			4			0.31			841			6
27558			10			4			0.22			841			6
27710			8			4			0.18			841			4
27718			9			4			0.25			841			5
28979			38			6			0.12			841			12
31224			13			3			0.12			841			9
33263			28			7			0.24			841			14
35938			48			7			0.1			841			14
38873			2			2			0			841			2
41767			27			4			0.04			841			7
42823			16			4			0.14			841			7
44957			7			3			0.14			841			4
61074			6			4			0.4			841			5
62283			4			2			0			841			4
64043			3			3			0.33			841			2
67313			26			5			0.08			841			6
80970			14			4			0.1			841			9
89200			5			3			0.3			841			2
89287			13			5			0.18			841			8
97933			24			4			0.03			841			6
102350			2			2			0			841			2
114032			6			3			0.13			841			6
120420			4			3			0.33			841			3
143935			2			2			0			841			2
150529			3			2			0			841			2
2752			46			7			0.14			841			14
4239			61			7			0.09			841			14
6901			22			4			0.07			841			12
73077			19			3			0.06			841			8
170178			3			2			0			841			3
460			6			3			0.2			841			4
461			4			3			0.17			841			3
53049			21			5			0.2			841			6
63097			8			4			0.29			841			4
70395			8			3			0.04			841			5
90735			7			3			0.14			841			4
149196			2			2			0			841			2
86626			7			3			0.14			841			4
175117			1			2			1			841			1
462			12			3			0.18			841			6
463			16			4			0.15			841			6
2553			4			3			0.33			841			3
12884			77			6			0.05			841			17
29588			11			3			0.22			841			5
37690			15			4			0.21			841			6
48079			25			4			0.06			841			7
57793			8			3			0.11			841			3
63613			11			4			0.18			841			5
78275			15			3			0.1			841			5
78815			8			3			0.18			841			3
14682			14			5			0.12			841			5
22424			9			3			0.17			841			5
55232			11			4			0.24			841			5
66951			17			3			0.12			841			5
74431			5			3			0.1			841			3
76934			8			4			0.11			841			4
79002			6			3			0.2			841			3
151178			3			3			0.33			841			3
176372			1			2			1			841			1
466			17			3			0.04			841			4
467			1			2			1			841			1
6435			10			3			0.16			841			4
76154			7			4			0.29			841			4
76155			9			4			0.25			841			4
87258			2			2			0			841			2
104460			1			2			1			841			1
107554			5			3			0.4			841			4
114678			4			3			0.67			841			4
117446			1			2			1			841			1
137803			2			2			0			841			1
143264			1			2			1			841			1
154999			2			2			0			841			1
158398			1			2			1			841			1
166289			1			2			1			841			1
175051			1			2			1			841			1
189033			1			2			1			841			1
192118			1			2			1			841			1
541			41			5			0.16			841			8
1038			29			4			0.06			841			12
1174			117			7			0.04			841			24
1237			6			5			0.8			841			6
1606			67			5			0.05			841			12
2225			111			7			0.03			841			20
2310			37			6			0.11			841			11
2516			43			6			0.07			841			14
2637			7			4			0.33			841			5
2802			8			6			0.75			841			8
2803			45			7			0.06			841			13
3287			5			5			0.9			841			5
3877			111			6			0.04			841			23
5671			45			5			0.09			841			25
6374			7			3			0.05			841			4
6491			13			4			0.17			841			7
6788			31			3			0.02			841			11
7707			20			4			0.1			841			8
7812			24			7			0.18			841			15
7845			29			7			0.15			841			14
8593			16			4			0.17			841			13
8775			33			5			0.07			841			12
10139			43			6			0.06			841			7
10305			10			4			0.29			841			6
10449			5			5			0.9			841			5
10725			60			5			0.06			841			12
11120			29			7			0.14			841			16
11460			30			7			0.18			841			17
12005			64			6			0.06			841			17
12007			87			6			0.06			841			19
12038			26			4			0.13			841			6
12040			74			5			0.06			841			18
12101			13			4			0.21			841			6
13174			10			6			0.49			841			8
13812			42			4			0.03			841			16
14362			18			5			0.18			841			10
14692			20			5			0.22			841			10
14739			9			6			0.58			841			8
15465			8			5			0.61			841			7
15875			11			5			0.22			841			7
15917			31			5			0.1			841			14
16075			112			6			0.05			841			19
16076			9			6			0.58			841			8
16300			17			7			0.38			841			15
16307			6			5			0.6			841			5
16467			21			5			0.17			841			10
18111			40			6			0.07			841			14
18270			30			6			0.12			841			9
18453			39			5			0.03			841			12
18500			6			3			0.07			841			3
18879			13			4			0.08			841			7
19222			9			3			0.06			841			7
19826			9			6			0.58			841			8
20218			11			6			0.38			841			9
20421			12			4			0.12			841			11
21259			13			4			0.15			841			10
22351			29			6			0.12			841			15
22741			15			4			0.1			841			11
22742			5			5			0.9			841			5
23360			33			4			0.08			841			8
25094			18			3			0.01			841			9
25200			5			5			0.9			841			5
26352			12			4			0.27			841			10
26474			7			5			0.57			841			6
26598			32			6			0.17			841			18
26930			14			5			0.25			841			10
27867			13			5			0.27			841			8
27973			6			5			0.4			841			4
28809			18			3			0.06			841			6
28855			5			3			0.5			841			5
29613			20			6			0.22			841			9
29614			6			5			0.6			841			5
30731			64			5			0.04			841			19
30894			16			5			0.22			841			11
31257			27			5			0.07			841			8
31546			5			5			0.9			841			5
31748			23			3			0.07			841			8
31846			15			5			0.27			841			11
32222			32			6			0.1			841			13
32228			9			5			0.58			841			8
32229			10			6			0.51			841			8
32230			9			6			0.69			841			9
32239			9			5			0.47			841			7
32240			48			7			0.05			841			11
33100			7			5			0.43			841			5
33644			11			6			0.38			841			9
33822			10			6			0.42			841			9
34194			17			5			0.18			841			8
35976			44			7			0.08			841			17
36091			11			3			0.02			841			11
36122			8			3			0.14			841			4
37562			13			5			0.32			841			9
38382			17			4			0.11			841			15
40726			5			5			0.9			841			5
42085			7			6			0.81			841			7
42098			7			3			0.1			841			5
43096			4			2			0			841			3
44140			5			5			0.9			841			5
45481			4			4			0.83			841			4
46129			6			5			0.6			841			5
47955			8			5			0.57			841			8
49624			30			3			0.01			841			12
50242			6			5			0.8			841			6
50722			6			6			0.67			841			5
51406			4			4			0.83			841			4
52059			8			4			0.25			841			6
52600			5			5			0.9			841			5
53219			48			7			0.11			841			17
54492			8			5			0.57			841			8
58333			5			5			0.7			841			4
59980			9			5			0.53			841			7
63811			13			5			0.19			841			10
63826			51			4			0.03			841			8
65742			9			5			0.25			841			8
69682			12			3			0.02			841			8
69803			6			4			0.4			841			5
70781			14			4			0.05			841			11
73341			16			4			0.19			841			7
74332			6			5			0.6			841			5
75404			15			4			0.17			841			9
77384			5			5			0.9			841			5
77450			4			5			1.0			841			4
78827			7			6			0.67			841			6
81189			5			5			0.9			841			5
81910			6			5			0.6			841			5
85359			7			6			0.52			841			5
86058			9			5			0.58			841			8
90825			17			3			0.04			841			8
91377			27			4			0.05			841			9
93985			4			5			1.0			841			4
97145			9			3			0.14			841			5
98683			3			3			0.33			841			3
100828			1			2			1			841			1
101778			6			5			0.8			841			6
104538			6			5			0.8			841			6
105825			5			5			0.6			841			5
110889			4			4			0.83			841			4
114571			6			5			0.6			841			5
133883			3			3			0.33			841			3
137371			5			4			0.5			841			4
142517			5			3			0.3			841			3
145613			4			4			0.83			841			4
705			14			3			0.04			841			8
1036			145			7			0.05			841			21
1746			42			4			0.03			841			10
1986			31			4			0.04			841			15
2272			21			5			0.2			841			9
2376			47			7			0.15			841			18
2556			113			5			0.02			841			10
2718			34			4			0.06			841			9
4639			55			5			0.04			841			19
5336			55			4			0.05			841			10
5755			67			6			0.04			841			9
5793			23			7			0.21			841			11
5865			8			3			0.29			841			4
6104			53			4			0.05			841			10
6379			10			3			0.16			841			4
7554			16			5			0.17			841			9
7556			33			5			0.04			841			9
7599			19			4			0.13			841			9
8954			37			4			0.05			841			9
9215			55			8			0.09			841			19
9600			16			4			0.13			841			9
9690			80			7			0.07			841			23
10338			28			5			0.16			841			11
10552			25			4			0.1			841			13
13892			49			7			0.12			841			18
13997			86			5			0.02			841			26
14209			20			3			0.06			841			6
14621			7			4			0.48			841			7
14935			25			5			0.09			841			15
15182			14			3			0.14			841			10
15494			8			3			0.32			841			7
15654			117			5			0.04			841			18
17009			76			8			0.1			841			21
17451			50			6			0.07			841			16
17806			25			4			0.1			841			8
18265			14			4			0.04			841			6
18273			12			4			0.14			841			6
18494			33			6			0.18			841			21
18537			20			3			0.04			841			8
18551			86			8			0.07			841			19
18600			30			4			0.1			841			12
20081			8			4			0.29			841			7
20148			4			3			0.17			841			4
21720			5			4			0.4			841			5
22078			8			3			0.18			841			6
22116			53			8			0.17			841			22
22676			43			7			0.1			841			26
22825			60			5			0.05			841			21
27229			15			7			0.4			841			11
27966			4			2			0			841			3
28133			62			5			0.06			841			15
29258			73			7			0.04			841			26
33798			9			3			0.03			841			6
34896			22			5			0.27			841			16
36762			38			4			0.04			841			15
38532			15			3			0.05			841			6
39095			5			4			0.5			841			4
41038			11			4			0.29			841			6
41706			20			4			0.08			841			13
41939			15			4			0.29			841			14
42814			32			5			0.08			841			17
43975			25			3			0.03			841			7
49602			17			3			0.09			841			12
51633			48			8			0.07			841			17
53155			9			3			0.14			841			6
53434			12			4			0.17			841			9
53795			31			5			0.08			841			19
55901			19			4			0.15			841			12
56434			32			6			0.1			841			18
58115			11			3			0.09			841			8
59494			12			4			0.18			841			5
70640			24			4			0.06			841			12
70975			6			4			0.2			841			4
73024			5			3			0.6			841			5
73265			20			4			0.15			841			8
77484			12			7			0.53			841			10
81604			10			4			0.13			841			4
83717			11			4			0.2			841			7
84743			15			5			0.15			841			12
85834			5			3			0.2			841			5
88878			29			4			0.09			841			8
106945			7			3			0.14			841			4
110361			6			4			0.33			841			4
123768			4			2			0			841			2
156803			5			3			0.1			841			5
191715			1			2			1			841			1
471			12			2			0			841			9
472			14			2			0			841			9
485			20			3			0.01			841			10
7885			19			3			0.06			841			9
16090			29			3			0.04			841			10
44647			16			3			0.07			841			9
75438			25			3			0.01			841			9
81115			6			2			0			841			6
95153			13			4			0.04			841			8
95157			12			2			0			841			9
106558			22			3			0.03			841			9
111236			26			3			0.04			841			12
119096			8			3			0.18			841			8
3042			32			4			0.04			841			13
5745			60			3			0.01			841			12
19644			12			3			0.03			841			9
20364			20			3			0.05			841			10
22253			5			2			0			841			5
25000			5			2			0			841			4
28174			12			3			0.02			841			9
41582			28			3			0.04			841			10
45611			61			3			0.01			841			12
57461			23			3			0.06			841			10
80984			19			3			0.05			841			10
92963			5			2			0			841			4
100484			8			3			0.04			841			4
473			29			5			0.14			841			13
474			27			5			0.13			841			13
2426			13			4			0.24			841			10
4265			70			5			0.09			841			16
4730			12			4			0.17			841			10
6174			45			6			0.14			841			13
8448			44			4			0.04			841			13
8916			20			6			0.37			841			13
11612			88			6			0.09			841			18
17608			30			5			0.17			841			13
17919			12			4			0.12			841			9
17920			11			4			0.15			841			9
18226			15			5			0.27			841			11
21018			14			4			0.29			841			11
22648			20			6			0.35			841			13
23660			14			5			0.3			841			13
26523			25			6			0.15			841			12
31158			46			6			0.14			841			13
34303			41			4			0.05			841			13
47276			7			4			0.57			841			7
47277			48			6			0.13			841			13
53256			25			4			0.04			841			10
53387			15			4			0.24			841			13
55822			7			3			0.43			841			7
72340			41			4			0.02			841			13
85486			18			4			0.17			841			13
102582			15			5			0.17			841			13
104260			10			3			0.11			841			10
8517			47			6			0.1			841			13
8915			35			5			0.12			841			13
9962			30			5			0.12			841			13
16242			15			3			0.04			841			6
22647			30			5			0.11			841			13
27015			33			5			0.15			841			13
32085			26			5			0.17			841			13
39853			34			6			0.15			841			13
53036			14			3			0.05			841			6
57041			24			4			0.12			841			13
69022			35			4			0.11			841			13
82454			8			3			0.04			841			4
92355			5			3			0.4			841			4
107268			26			4			0.12			841			13
118841			8			3			0.07			841			5
128058			8			3			0.04			841			4
128065			8			3			0.04			841			4
128066			6			3			0.07			841			4
132539			17			3			0.04			841			9
149859			6			3			0.2			841			5
179218			1			2			1			841			1
179219			1			2			1			841			1
475			3			3			0.33			841			2
476			2			2			0			841			1
12986			2			3			1.0			841			2
64068			4			3			0.17			841			2
38512			1			2			1			841			1
477			6			2			0			841			2
478			2			2			0			841			2
92012			3			2			0			841			1
104924			2			2			0			841			2
104943			1			2			1			841			1
165624			3			3			0.33			841			2
170133			4			2			0			841			3
479			8			3			0.11			841			5
480			12			3			0.12			841			6
2184			80			8			0.09			841			18
37941			47			6			0.08			841			18
108885			7			3			0.05			841			4
139658			3			2			0			841			3
183024			1			2			1			841			1
7856			10			3			0.13			841			6
27106			19			3			0.05			841			10
46988			19			3			0.04			841			10
58697			6			3			0.27			841			5
58703			11			5			0.25			841			6
59574			12			3			0.09			841			6
125259			7			3			0.19			841			5
150839			7			3			0.24			841			5
151205			2			2			0			841			2
481			29			6			0.2			841			8
482			3			3			0.33			841			2
2168			7			4			0.33			841			5
2545			2			3			1.0			841			2
7249			13			4			0.22			841			7
13062			20			6			0.23			841			9
13280			29			6			0.2			841			8
13281			10			6			0.36			841			7
14193			16			6			0.28			841			8
16151			7			6			0.62			841			6
20409			13			6			0.42			841			7
22832			16			6			0.21			841			8
23560			39			6			0.15			841			8
28107			5			6			1.0			841			5
29176			6			4			0.4			841			5
32933			4			5			1.0			841			4
37017			15			6			0.28			841			8
37383			11			5			0.35			841			8
51833			9			4			0.22			841			6
62619			8			4			0.32			841			6
67481			8			4			0.39			841			5
67975			14			6			0.26			841			7
82199			2			3			1.0			841			2
84773			5			4			0.6			841			5
95423			5			4			0.7			841			5
116608			6			5			0.47			841			5
126296			6			5			0.4			841			4
137412			6			5			0.6			841			6
67956			2			2			0			841			2
483			6			2			0			841			4
484			8			3			0.04			841			3
19229			14			4			0.18			841			10
39788			6			2			0			841			4
68594			19			3			0.05			841			6
111869			4			2			0			841			4
127986			5			2			0			841			4
22143			21			4			0.06			841			10
71741			23			4			0.05			841			10
100571			2			3			1.0			841			2
100572			2			3			1.0			841			2
106721			2			2			0			841			2
116193			3			2			0			841			2
165514			2			2			0			841			2
7884			23			3			0.04			841			10
19840			19			3			0.04			841			10
77565			6			2			0			841			5
90932			26			3			0.02			841			10
94872			4			2			0			841			4
106559			14			3			0.05			841			9
134221			5			3			0.1			841			4
165897			2			2			0			841			2
486			24			5			0.14			841			8
487			5			3			0.5			841			5
5823			45			10			0.15			841			18
7214			106			8			0.04			841			16
10654			43			4			0.04			841			12
13241			19			5			0.23			841			8
31259			26			3			0.07			841			6
31262			13			3			0.17			841			6
33488			28			3			0.06			841			6
57895			6			3			0.33			841			5
60067			17			5			0.24			841			6
60068			5			4			0.6			841			5
61475			13			3			0.14			841			5
72258			10			4			0.13			841			4
76650			7			3			0.14			841			5
85043			5			3			0.3			841			4
88254			4			3			0.5			841			4
88422			4			3			0.5			841			4
94066			4			4			0.83			841			4
127972			6			3			0.07			841			5
132419			6			5			0.73			841			6
64497			19			5			0.14			841			6
64498			5			3			0.3			841			5
488			13			5			0.28			841			9
489			2			3			1.0			841			2
2193			43			4			0.07			841			9
2217			13			5			0.28			841			9
2385			40			5			0.12			841			9
4162			16			4			0.17			841			9
4551			84			6			0.07			841			9
9181			40			6			0.14			841			9
10911			74			6			0.03			841			14
27517			53			6			0.09			841			9
43292			15			5			0.19			841			8
78553			3			3			0.33			841			3
